# phi u uprime x y
0 1 -0.5 1 0
0.02 0.99 -0.4999 1.0099 0.0202007
0.0464626 0.976775 -0.49946 1.02267 0.0475502
0.077941 0.961064 -0.498482 1.03735 0.0810166
0.112966 0.943629 -0.496812 1.05298 0.11946
0.150335 0.925103 -0.494359 1.06877 0.161895
0.189164 0.905963 -0.491078 1.08411 0.207556
0.228847 0.886551 -0.48696 1.09856 0.255884
0.268976 0.8671 -0.482015 1.1118 0.306475
0.309291 0.847776 -0.476266 1.12359 0.359037
0.34962 0.828692 -0.469739 1.13372 0.413351
0.389858 0.80993 -0.462466 1.14203 0.469247
0.429936 0.791548 -0.454477 1.14837 0.526579
0.46981 0.773592 -0.445804 1.15262 0.585214
0.509454 0.756096 -0.436478 1.15463 0.645025
0.548851 0.739089 -0.42653 1.15429 0.705879
0.587991 0.722595 -0.415991 1.15148 0.767637
0.626868 0.706632 -0.404892 1.1461 0.83015
0.665478 0.691218 -0.393263 1.13802 0.893257
0.703821 0.676366 -0.381134 1.12716 0.956783
0.741898 0.662088 -0.368535 1.11343 1.02054
0.779708 0.648395 -0.355495 1.09674 1.08433
0.817255 0.635295 -0.342043 1.07702 1.14792
0.854542 0.622795 -0.328207 1.05422 1.2111
0.891572 0.6109 -0.314014 1.0283 1.27363
0.928349 0.599615 -0.299491 0.999235 1.33524
0.964879 0.588942 -0.284665 0.967016 1.39569
1.00117 0.578882 -0.269561 0.931657 1.4547
1.03722 0.569438 -0.254204 0.89319 1.51201
1.07304 0.560607 -0.238616 0.85167 1.56733
1.10865 0.552391 -0.222822 0.807172 1.6204
1.14404 0.544785 -0.206842 0.759794 1.67095
1.17922 0.537789 -0.190697 0.709656 1.71872
1.21421 0.5314 -0.174407 0.656899 1.76345
1.24902 0.525613 -0.15799 0.601684 1.80489
1.28365 0.520425 -0.141465 0.544195 1.84283
1.31813 0.515834 -0.124848 0.48463 1.87706
1.35245 0.511833 -0.108155 0.423208 1.90737
1.38664 0.508421 -0.0914011 0.360159 1.93362
1.42072 0.505592 -0.0745998 0.295729 1.95565
1.45468 0.503343 -0.0577646 0.230173 1.97334
1.48855 0.501672 -0.0409081 0.163755 1.9866
1.52235 0.500574 -0.0240423 0.0967428 1.99536
1.55609 0.500047 -0.00717866 0.0294107 1.9996
1.58978 0.500089 0.00967169 -0.0379679 1.99929
1.62345 0.500698 0.0264979 -0.10512 1.99445
1.65711 0.501872 0.0432893 -0.171778 1.98512
1.69078 0.503612 0.0600351 -0.237676 1.97138
1.72447 0.505916 0.0767246 -0.302561 1.95332
1.7582 0.508785 0.0933467 -0.366187 1.93105
1.79199 0.51222 0.10989 -0.428318 1.90472
1.82585 0.51622 0.126343 -0.488735 1.87449
1.85979 0.520788 0.142692 -0.54723 1.84054
1.89384 0.525924 0.158925 -0.603613 1.80306
1.928 0.53163 0.175028 -0.657712 1.76227
1.9623 0.537907 0.190987 -0.70937 1.7184
1.99673 0.544758 0.206786 -0.75845 1.67167
2.03132 0.552182 0.222408 -0.804837 1.62233
2.06607 0.560183 0.237838 -0.84843 1.57063
2.101 0.568759 0.253056 -0.889152 1.51682
2.13612 0.577911 0.268044 -0.926942 1.46115
2.17143 0.58764 0.282781 -0.96176 1.40388
2.20695 0.597943 0.297249 -0.993583 1.34526
2.24268 0.60882 0.311424 -1.0224 1.28552
2.27863 0.620268 0.325285 -1.04824 1.22491
2.3148 0.632283 0.338809 -1.0711 1.16366
2.35121 0.644862 0.351971 -1.09104 1.10198
2.38785 0.657998 0.364749 -1.10811 1.04008
2.42474 0.671685 0.377116 -1.12237 0.978161
2.46187 0.685915 0.389048 -1.13388 0.916404
2.49926 0.700679 0.400518 -1.14275 0.85498
2.5369 0.715967 0.4115 -1.14904 0.794047
2.57479 0.731765 0.421969 -1.15286 0.733751
2.61295 0.748062 0.431897 -1.15431 0.674223
