# phi u uprime x y
0 1 -0.5 1 0
0.02 0.990002 -0.499702 1.0099 0.0202006
0.0443873 0.977822 -0.499073 1.02167 0.0453792
0.0719548 0.964075 -0.498013 1.03458 0.0745717
0.10167 0.949297 -0.496453 1.04797 0.106916
0.132757 0.933892 -0.494361 1.06137 0.141738
0.164675 0.918152 -0.491726 1.07441 0.178545
0.197059 0.902275 -0.488549 1.08686 0.216992
0.229674 0.886397 -0.484841 1.09854 0.256837
0.262366 0.870612 -0.480616 1.10931 0.297912
0.295037 0.854982 -0.475889 1.11908 0.340095
0.327628 0.839554 -0.470676 1.12775 0.383296
0.360097 0.824359 -0.464994 1.13526 0.427441
0.392422 0.809424 -0.458858 1.14153 0.472468
0.424586 0.794767 -0.452284 1.14651 0.51832
0.45658 0.780405 -0.445287 1.15013 0.564939
0.488398 0.766351 -0.437885 1.15233 0.612267
0.520037 0.752617 -0.430091 1.15304 0.660246
0.551494 0.739213 -0.421921 1.15223 0.708809
0.58277 0.726147 -0.41339 1.14982 0.757889
0.613863 0.713428 -0.404515 1.14578 0.80741
0.644775 0.701063 -0.395308 1.14003 0.857295
0.675505 0.689059 -0.385787 1.13255 0.907458
0.706056 0.67742 -0.375964 1.12327 0.957808
0.736429 0.666152 -0.365856 1.11217 1.00825
0.766626 0.655258 -0.355477 1.09919 1.05868
0.796647 0.644744 -0.34484 1.08432 1.10899
0.826497 0.63461 -0.33396 1.06752 1.15908
0.856176 0.624861 -0.322851 1.04876 1.20882
0.885689 0.615498 -0.311525 1.02804 1.25809
0.915036 0.606523 -0.299997 1.00534 1.30677
0.944223 0.597936 -0.28828 0.980661 1.35473
0.973251 0.589739 -0.276385 0.954006 1.40184
1.00212 0.581931 -0.264325 0.92539 1.44797
1.03085 0.574513 -0.252111 0.894831 1.49298
1.05942 0.567484 -0.239757 0.862359 1.53674
1.08786 0.560843 -0.227271 0.828011 1.57911
1.11615 0.554589 -0.214666 0.791832 1.61997
1.14432 0.548721 -0.201951 0.753877 1.65918
1.17235 0.543238 -0.189136 0.714208 1.69662
1.20027 0.538137 -0.176231 0.672896 1.73215
1.22806 0.533418 -0.163245 0.63002 1.76567
1.25575 0.529079 -0.150187 0.585667 1.79705
1.28333 0.525117 -0.137066 0.539931 1.82619
1.31081 0.52153 -0.123888 0.492912 1.85299
1.3382 0.518318 -0.110662 0.444718 1.87736
1.36551 0.515476 -0.0973946 0.395463 1.89922
1.39273 0.513005 -0.0840934 0.345265 1.91848
1.41989 0.510902 -0.0707649 0.294246 1.93508
1.44699 0.509165 -0.0574152 0.242533 1.94897
1.47403 0.507792 -0.0440506 0.190258 1.9601
1.50103 0.506784 -0.030677 0.137551 1.96843
1.52799 0.506137 -0.0172999 0.0845483 1.97394
1.55492 0.505851 -0.00392511 0.031384 1.97662
1.58183 0.505925 0.00944211 -0.0218061 1.97646
1.60873 0.506359 0.0227964 -0.074887 1.97346
1.63562 0.507151 0.0361323 -0.127725 1.96766
1.66251 0.508302 0.0494446 -0.180187 1.95907
1.68942 0.509812 0.062728 -0.232144 1.94772
1.71636 0.51168 0.0759769 -0.28347 1.93368
