# x u_numeric u_exact uprime_numeric uprime_exact
5.49932 0.709694 0.70819 0.704614 0.706022
5.54667 0.74226 0.740811 0.670223 0.671713
5.59401 0.773161 0.771773 0.634328 0.635898
5.64136 0.802328 0.801005 0.59701 0.598658
5.68871 0.829695 0.828441 0.558353 0.560076
5.73605 0.855201 0.854021 0.518444 0.520239
5.7834 0.878789 0.877686 0.477371 0.479236
5.83075 0.900406 0.899385 0.435228 0.437158
5.8781 0.920004 0.919067 0.392109 0.394101
5.92544 0.937538 0.93669 0.34811 0.350161
5.97279 0.952969 0.952213 0.30333 0.305436
6.02014 0.966263 0.965602 0.25787 0.260026
6.06748 0.977389 0.976826 0.211832 0.214033
6.11483 0.986323 0.985862 0.165318 0.167561
6.16218 0.993045 0.992687 0.118433 0.120713
6.20952 0.997539 0.997288 0.0712829 0.0735949
6.25687 0.999796 0.999654 0.0239726 0.0263115
6.30422 0.99981 0.999779 -0.0233915 -0.0210307
6.35156 0.997582 0.997663 -0.0707031 -0.0683259
6.39891 0.993116 0.993311 -0.117856 -0.115468
6.44626 0.986423 0.986733 -0.164745 -0.162351
6.4936 0.977517 0.977943 -0.211264 -0.20887
6.54095 0.966419 0.966962 -0.25731 -0.254921
6.5883 0.953153 0.953813 -0.302778 -0.300401
6.63565 0.937749 0.938526 -0.347568 -0.345208
6.68299 0.920242 0.921136 -0.391578 -0.38924
6.73034 0.90067 0.901682 -0.434709 -0.432401
6.77769 0.879079 0.880206 -0.476866 -0.474592
6.82503 0.855515 0.856758 -0.517953 -0.515719
6.87238 0.830033 0.831389 -0.557878 -0.555691
6.91973 0.802689 0.804157 -0.596552 -0.594417
6.96707 0.773545 0.775123 -0.633888 -0.631811
7.01442 0.742665 0.744351 -0.669803 -0.667789
7.06177 0.71012 0.711911 -0.704214 -0.70227
7.10911 0.675982 0.677875 -0.737047 -0.735177
7.15646 0.640327 0.642321 -0.768226 -0.766436
7.20381 0.603236 0.605326 -0.797683 -0.795978
7.25115 0.564793 0.566975 -0.82535 -0.823735
7.2985 0.525082 0.527353 -0.851166 -0.849646
7.34585 0.484194 0.486549 -0.875073 -0.873653
7.39319 0.442219 0.444655 -0.897017 -0.895702
7.44054 0.399253 0.401764 -0.916949 -0.915743
7.48789 0.355391 0.357973 -0.934824 -0.933732
7.53523 0.310732 0.313379 -0.950603 -0.949628
7.58258 0.265376 0.268083 -0.96425 -0.963396
7.62993 0.219424 0.222186 -0.975734 -0.975004
7.67727 0.172981 0.175791 -0.985029 -0.984427
7.72462 0.126149 0.129002 -0.992115 -0.991644
7.77197 0.0790345 0.0819243 -0.996976 -0.996639
7.81931 0.0317426 0.0346627 -0.9996 -0.999399
7.86666 -0.0156206 -0.0126765 -0.999983 -0.99992
7.91401 -0.0629488 -0.0599874 -0.998122 -0.998199
7.96135 -0.110136 -0.107164 -0.994023 -0.994241
8.0087 -0.157076 -0.1541 -0.987694 -0.988055
8.05604 -0.203664 -0.200691 -0.97915 -0.979655
8.10339 -0.249795 -0.246832 -0.96841 -0.969058
8.15074 -0.295366 -0.292419 -0.955498 -0.95629
8.19808 -0.340274 -0.337352 -0.940442 -0.941379
8.24543 -0.384419 -0.381528 -0.923277 -0.924357
8.29278 -0.427702 -0.424849 -0.904042 -0.905264
8.34012 -0.470026 -0.467218 -0.882778 -0.884142
8.38747 -0.511296 -0.50854 -0.859535 -0.861038
8.43482 -0.551418 -0.548722 -0.834363 -0.836005
8.48216 -0.590304 -0.587674 -0.80732 -0.809098
8.52951 -0.627867 -0.625309 -0.778467 -0.780377
8.57686 -0.66402 -0.661542 -0.747867 -0.749908
8.6242 -0.698685 -0.696293 -0.71559 -0.717757
8.67155 -0.731782 -0.729483 -0.681708 -0.683998
8.71889 -0.763239 -0.761039 -0.646296 -0.648706
8.76624 -0.792983 -0.790888 -0.609435 -0.611961
8.81359 -0.820949 -0.818965 -0.571207 -0.573843
8.86093 -0.847073 -0.845207 -0.531698 -0.53444
8.90828 -0.871298 -0.869554 -0.490997 -0.493838
8.95563 -0.893568 -0.891952 -0.449193 -0.45213
9.00297 -0.913834 -0.912351 -0.406383 -0.409408
9.05032 -0.93205 -0.930706 -0.362661 -0.365769
9.09766 -0.948176 -0.946974 -0.318125 -0.32131
9.14501 -0.962176 -0.96112 -0.272876 -0.276131
9.19236 -0.974017 -0.973112 -0.227015 -0.230334
9.2397 -0.983673 -0.982923 -0.180644 -0.184019
9.28705 -0.991124 -0.99053 -0.133869 -0.137293
9.3344 -0.996351 -0.995918 -0.0867925 -0.0902587
9.38174 -0.999344 -0.999074 -0.0395218 -0.0430222
9.42909 -1.00009 -0.999991 0.00783768 0.00431068
9.47643 -0.998603 -0.998666 0.0551796 0.0516339
9.52378 -0.994871 -0.995103 0.102398 0.0988414
9.57113 -0.988908 -0.98931 0.149386 0.145827
9.61847 -0.980726 -0.9813 0.19604 0.192487
9.66582 -0.970345 -0.97109 0.242254 0.238714
9.71317 -0.957788 -0.958704 0.287924 0.284407
9.76051 -0.943082 -0.944169 0.332949 0.329462
9.80786 -0.926262 -0.927518 0.377227 0.373779
9.8552 -0.907363 -0.908788 0.420659 0.417258
9.90255 -0.88643 -0.888021 0.463148 0.459802
9.9499 -0.863508 -0.865265 0.504598 0.501315
9.99724 -0.838649 -0.840569 0.544916 0.541705
10 -0.837143 -0.839072 0.547227 0.544021
