# phi u uprime x y
8.475 1 0 -0.581864 0.813286
8.525 1 0 -0.621784 0.783189
8.575 1 0 -0.66015 0.751134
8.625 1 0 -0.696866 0.717201
8.675 1 0 -0.73184 0.681476
8.725 1 0 -0.764985 0.644048
8.775 1 0 -0.796218 0.60501
8.825 1 0 -0.825461 0.564459
8.875 1 0 -0.852641 0.522498
8.925 1 0 -0.877689 0.479231
8.975 1 0 -0.900544 0.434766
9.025 1 0 -0.921147 0.389214
9.075 1 0 -0.939449 0.342689
9.125 1 0 -0.955402 0.295308
9.175 1 0 -0.968967 0.247189
9.225 1 0 -0.980111 0.198452
9.275 1 0 -0.988804 0.149219
9.325 1 0 -0.995026 0.0996125
9.375 1 0 -0.998761 0.0497574
9.425 1 0 -1 -0.000222039
9.475 1 0 -0.998739 -0.0502009
9.525 1 0 -0.994982 -0.100054
9.575 1 0 -0.988738 -0.149658
9.625 1 0 -0.980022 -0.198887
9.675 1 0 -0.968857 -0.247619
9.725 1 0 -0.955271 -0.295732
9.775 1 0 -0.939297 -0.343106
9.825 1 0 -0.920975 -0.389623
9.875 1 0 -0.900351 -0.435165
9.925 1 0 -0.877476 -0.47962
9.975 1 0 -0.852408 -0.522877
10.025 1 0 -0.82521 -0.564826
10.075 1 0 -0.795949 -0.605363
10.125 1 0 -0.764699 -0.644387
10.175 1 0 -0.731538 -0.681801
10.225 1 0 -0.696547 -0.717511
10.275 1 0 -0.659816 -0.751427
10.325 1 0 -0.621436 -0.783465
10.375 1 0 -0.581502 -0.813545
10.425 1 0 -0.540115 -0.841591
10.475 1 0 -0.497378 -0.867534
10.525 1 0 -0.453398 -0.891308
10.575 1 0 -0.408285 -0.912855
10.625 1 0 -0.362151 -0.93212
10.675 1 0 -0.315112 -0.949055
10.725 1 0 -0.267285 -0.963618
10.775 1 0 -0.21879 -0.975772
10.825 1 0 -0.169748 -0.985487
10.875 1 0 -0.120282 -0.99274
10.925 1 0 -0.0705157 -0.997511
10.975 1 0 -0.0205728 -0.999788
11.025 1 0 0.0294215 -0.999567
11.075 1 0 0.0793422 -0.996847
11.125 1 0 0.129065 -0.991636
11.175 1 0 0.178465 -0.983946
11.225 1 0 0.227418 -0.973797
11.275 1 0 0.275804 -0.961214
11.325 1 0 0.3235 -0.946228
11.375 1 0 0.370387 -0.928877
11.425 1 0 0.416349 -0.909205
11.475 1 0 0.46127 -0.88726
11.525 1 0 0.505038 -0.863097
11.575 1 0 0.547543 -0.836777
11.625 1 0 0.588681 -0.808366
11.675 1 0 0.628346 -0.777934
11.725 1 0 0.666442 -0.745557
11.775 1 0 0.702871 -0.711317
11.825 1 0 0.737544 -0.675299
11.875 1 0 0.770373 -0.637594
11.925 1 0 0.801276 -0.598294
11.975 1 0 0.830177 -0.557499
12.025 1 0 0.857003 -0.515311
12.075 1 0 0.881687 -0.471835
12.125 1 0 0.904167 -0.427179
12.175 1 0 0.924387 -0.381456
12.225 1 0 0.942297 -0.334779
12.275 1 0 0.957851 -0.287265
12.325 1 0 0.971011 -0.239034
12.375 1 0 0.981744 -0.190205
12.425 1 0 0.990024 -0.1409
12.475 1 0 0.995829 -0.0912435
12.525 1 0 0.999144 -0.0413588
12.575 1 0 0.999963 0.00862928
12.625 1 0 0.998282 0.0585958
12.675 1 0 0.994106 0.108416
12.725 1 0 0.987445 0.157965
12.775 1 0 0.978316 0.207119
12.825 1 0 0.966741 0.255756
12.875 1 0 0.952751 0.303753
12.925 1 0 0.936379 0.350991
12.975 1 0 0.917666 0.397352
13.025 1 0 0.89666 0.44272
13.075 1 0 0.873413 0.486981
13.125 1 0 0.847982 0.530024
13.175 1 0 0.820432 0.571744
13.225 1 0 0.790832 0.612034
13.275 1 0 0.759255 0.650794
13.325 1 0 0.72578 0.687927
13.375 1 0 0.690491 0.723341
13.425 1 0 0.653476 0.756948
13.475 1 0 0.614827 0.788662
13.525 1 0 0.574642 0.818405
13.575 1 0 0.533021 0.846102
13.625 1 0 0.490067 0.871685
13.675 1 0 0.445889 0.895088
13.725 1 0 0.400596 0.916255
13.775 1 0 0.354301 0.935131
13.825 1 0 0.307122 0.95167
13.875 1 0 0.259174 0.965831
13.925 1 0 0.210579 0.977577
13.975 1 0 0.161457 0.98688
14.025 1 0 0.111932 0.993716
14.075 1 0 0.0621269 0.998068
14.125 1 0 0.0121666 0.999926
14.175 1 0 -0.037824 0.999284
14.225 1 0 -0.0877202 0.996145
14.275 1 0 -0.137397 0.990516
14.325 1 0 -0.186731 0.982411
14.375 1 0 -0.235597 0.971851
14.425 1 0 -0.283875 0.958861
14.475 1 0 -0.331443 0.943475
14.525 1 0 -0.378183 0.925731
14.575 1 0 -0.423978 0.905673
14.625 1 0 -0.468713 0.883351
14.675 1 0 -0.512276 0.858821
14.725 1 0 -0.554559 0.832144
14.775 1 0 -0.595456 0.803388
14.825 1 0 -0.634864 0.772624
14.875 1 0 -0.672686 0.739928
14.925 1 0 -0.708826 0.705383
14.975 1 0 -0.743195 0.669075
15.025 1 0 -0.775706 0.631094
15.075 1 0 -0.806278 0.591537
15.125 1 0 -0.834835 0.5505
15.175 1 0 -0.861305 0.508088
15.225 1 0 -0.885623 0.464406
15.275 1 0 -0.907726 0.419562
15.325 1 0 -0.927561 0.373671
15.375 1 0 -0.945078 0.326845
15.425 1 0 -0.960232 0.279202
15.475 1 0 -0.972987 0.230862
15.525 1 0 -0.983309 0.181944
15.575 1 0 -0.991173 0.132572
15.625 1 0 -0.996561 0.0828681
15.675 1 0 -0.999457 0.0329573
15.725 1 0 -0.999855 -0.0170359
15.775 1 0 -0.997754 -0.0669865
15.825 1 0 -0.993159 -0.11677
15.875 1 0 -0.986082 -0.166261
15.925 1 0 -0.97654 -0.215337
15.975 1 0 -0.964557 -0.263874
16.025 1 0 -0.950163 -0.311752
16.075 1 0 -0.933395 -0.358851
16.125 1 0 -0.914293 -0.405053
16.175 1 0 -0.892906 -0.450242
16.225 1 0 -0.869288 -0.494306
16.275 1 0 -0.843496 -0.537135
16.325 1 0 -0.815597 -0.578621
16.375 1 0 -0.785658 -0.618661
16.425 1 0 -0.753756 -0.657154
16.475 1 0 -0.71997 -0.694005
16.525 1 0 -0.684385 -0.729121
16.575 1 0 -0.647089 -0.762415
16.625 1 0 -0.608175 -0.793803
16.675 1 0 -0.567741 -0.823207
16.725 1 0 -0.525889 -0.850553
16.775 1 0 -0.482721 -0.875774
16.825 1 0 -0.438348 -0.898805
16.875 1 0 -0.392878 -0.91959
16.925 1 0 -0.346427 -0.938077
16.975 1 0 -0.29911 -0.954219
17.025 1 0 -0.251045 -0.967975
17.075 1 0 -0.202353 -0.979313
17.125 1 0 -0.153154 -0.988202
17.175 1 0 -0.103574 -0.994622
17.225 1 0 -0.0537337 -0.998555
17.275 1 0 -0.00375959 -0.999993
17.325 1 0 0.0462239 -0.998931
17.375 1 0 0.0960919 -0.995372
17.425 1 0 0.14572 -0.989326
17.475 1 0 0.194983 -0.980807
17.525 1 0 0.24376 -0.969836
