# z qspline qspline_deriv qspline_integ cos(z) -sin(z) sin(z)
2.35 -0.725524 -0.618071 0.704402 -0.702713 -0.711473 0.711473
2.4 -0.754529 -0.542109 0.667385 -0.737394 -0.675463 0.675463
2.45 -0.779735 -0.466148 0.629013 -0.770231 -0.637765 0.637765
2.5 -0.801144 -0.390187 0.589475 -0.801144 -0.598472 0.598472
2.55 -0.82059 -0.387689 0.548931 -0.830054 -0.557684 0.557684
2.6 -0.839912 -0.385191 0.507418 -0.856889 -0.515501 0.515501
2.65 -0.85911 -0.382693 0.464942 -0.881582 -0.472031 0.472031
2.7 -0.878182 -0.380196 0.421509 -0.904072 -0.42738 0.42738
2.75 -0.897129 -0.377698 0.377126 -0.924302 -0.381661 0.381661
2.8 -0.915952 -0.3752 0.331798 -0.942222 -0.334988 0.334988
2.85 -0.934649 -0.372702 0.285533 -0.957787 -0.287478 0.287478
2.9 -0.953222 -0.370204 0.238335 -0.970958 -0.239249 0.239249
2.95 -0.97167 -0.367707 0.190213 -0.981702 -0.190423 0.190423
3 -0.989992 -0.365209 0.141171 -0.989992 -0.14112 0.14112
3.05 -1.00589 -0.270753 0.0912537 -0.995808 -0.0914646 0.0914646
3.1 -1.01707 -0.176297 0.0406601 -0.999135 -0.0415807 0.0415807
3.15 -1.02352 -0.0818406 -0.0103743 -0.999965 0.00840725 -0.00840725
3.2 -1.02525 0.0126155 -0.0616133 -0.998295 0.0583741 -0.0583741
3.25 -1.02226 0.107072 -0.112821 -0.99413 0.108195 -0.108195
3.3 -1.01454 0.201528 -0.163761 -0.98748 0.157746 -0.157746
3.35 -1.00211 0.295984 -0.214197 -0.978362 0.206902 -0.206902
3.4 -0.984946 0.39044 -0.263893 -0.966798 0.255541 -0.255541
3.45 -0.963063 0.484896 -0.312612 -0.952818 0.303542 -0.303542
3.5 -0.936457 0.579352 -0.36012 -0.936457 0.350783 -0.350783
3.55 -0.907558 0.576607 -0.40622 -0.917755 0.397148 -0.397148
3.6 -0.878796 0.573862 -0.450878 -0.896758 0.44252 -0.44252
3.65 -0.850172 0.571117 -0.494102 -0.873521 0.486787 -0.486787
3.7 -0.821684 0.568371 -0.535898 -0.8481 0.529836 -0.529836
3.75 -0.793334 0.565626 -0.576273 -0.820559 0.571561 -0.571561
3.8 -0.765122 0.562881 -0.615233 -0.790968 0.611858 -0.611858
3.85 -0.737046 0.560136 -0.652787 -0.759399 0.650625 -0.650625
3.9 -0.709108 0.55739 -0.68894 -0.725932 0.687766 -0.687766
3.95 -0.681307 0.554645 -0.7237 -0.690651 0.723188 -0.723188
4 -0.653644 0.5519 -0.757073 -0.653644 0.756802 -0.756802
4.05 -0.62438 0.618659 -0.789038 -0.615002 0.788525 -0.788525
4.1 -0.591778 0.685418 -0.819456 -0.574824 0.818277 -0.818277
4.15 -0.555838 0.752177 -0.84816 -0.533209 0.845984 -0.845984
4.2 -0.51656 0.818937 -0.874984 -0.490261 0.871576 -0.871576
4.25 -0.473944 0.885696 -0.89976 -0.446087 0.894989 -0.894989
4.3 -0.42799 0.952455 -0.922323 -0.400799 0.916166 -0.916166
4.35 -0.378699 1.01921 -0.942504 -0.354509 0.935053 -0.935053
4.4 -0.326069 1.08597 -0.960137 -0.307333 0.951602 -0.951602
4.45 -0.270101 1.15273 -0.975055 -0.259389 0.965773 -0.965773
4.5 -0.210796 1.21949 -0.987091 -0.210796 0.97753 -0.97753
4.55 -0.150974 1.17338 -0.996126 -0.161676 0.986844 -0.986844
4.6 -0.0934582 1.12726 -1.00223 -0.112153 0.993691 -0.993691
4.65 -0.038248 1.08115 -1.00551 -0.0623485 0.998054 -0.998054
4.7 0.0146564 1.03503 -1.00609 -0.0123887 0.999923 -0.999923
4.75 0.0652551 0.988916 -1.00408 0.0376022 0.999293 -0.999293
4.8 0.113548 0.942801 -0.999603 0.087499 0.996165 -0.996165
4.85 0.159535 0.896686 -0.992767 0.137177 0.990547 -0.990547
4.9 0.203217 0.850571 -0.983688 0.186512 0.982453 -0.982453
4.95 0.244592 0.804456 -0.972483 0.235381 0.971903 -0.971903
5 0.283662 0.758341 -0.959267 0.283662 0.958924 -0.958924
5.05 0.322038 0.776676 -0.944129 0.331234 0.943549 -0.943549
5.1 0.36133 0.795011 -0.927048 0.377978 0.925815 -0.925815
5.15 0.401539 0.813345 -0.90798 0.423777 0.905767 -0.905767
5.2 0.442664 0.83168 -0.886879 0.468517 0.883455 -0.883455
5.25 0.484707 0.850015 -0.863699 0.512085 0.858934 -0.858934
5.3 0.527666 0.86835 -0.838393 0.554374 0.832267 -0.832267
5.35 0.571542 0.886685 -0.810917 0.595278 0.80352 -0.80352
5.4 0.616334 0.90502 -0.781224 0.634693 0.772764 -0.772764
5.45 0.662044 0.923355 -0.749268 0.672522 0.740077 -0.740077
5.5 0.70867 0.94169 -0.715004 0.70867 0.70554 -0.70554
5.55 0.753561 0.853952 -0.67843 0.743046 0.66924 -0.66924
5.6 0.794065 0.766214 -0.639721 0.775566 0.631267 -0.631267
5.65 0.830182 0.678476 -0.599097 0.806147 0.591716 -0.591716
5.7 0.861913 0.590739 -0.556776 0.834713 0.550686 -0.550686
5.75 0.889256 0.503001 -0.512979 0.861192 0.508279 -0.508279
5.8 0.912213 0.415263 -0.467924 0.88552 0.464602 -0.464602
5.85 0.930782 0.327526 -0.42183 0.907633 0.419764 -0.419764
5.9 0.944965 0.239788 -0.374918 0.927478 0.373877 -0.373877
5.95 0.954761 0.15205 -0.327407 0.945005 0.327055 -0.327055
6 0.96017 0.0643124 -0.279515 0.96017 0.279415 -0.279415
6.05 0.963229 0.0580169 -0.231429 0.972935 0.231078 -0.231078
6.1 0.965972 0.0517213 -0.183198 0.983268 0.182163 -0.182163
6.15 0.968401 0.0454258 -0.134837 0.991144 0.132792 -0.132792
6.2 0.970515 0.0391302 -0.0863631 0.996542 0.0830894 -0.0830894
6.25 0.972314 0.0328347 -0.037791 0.999449 0.0331792 -0.0331792
6.3 0.973798 0.0265391 0.0108631 0.999859 -0.0168139 0.0168139
6.35 0.974968 0.0202436 0.0595835 0.997769 -0.066765 0.066765
6.4 0.975822 0.013948 0.108355 0.993185 -0.116549 0.116549
6.45 0.976362 0.00765249 0.157161 0.986119 -0.166042 0.166042
6.5 0.976588 0.00135694 0.205986 0.976588 -0.21512 0.21512
6.55 0.974422 -0.0879886 0.254779 0.964616 -0.26366 0.26366
6.6 0.967789 -0.177334 0.303353 0.950233 -0.311541 0.311541
6.65 0.956688 -0.26668 0.351484 0.933474 -0.358644 0.358644
6.7 0.941121 -0.356025 0.398948 0.914383 -0.40485 0.40485
6.75 0.921086 -0.445371 0.445521 0.893006 -0.450044 0.450044
6.8 0.896584 -0.534716 0.490982 0.869397 -0.494113 0.494113
6.85 0.867614 -0.624062 0.535105 0.843616 -0.536948 0.536948
6.9 0.834178 -0.713407 0.577669 0.815725 -0.57844 0.57844
6.95 0.796274 -0.802753 0.618449 0.785796 -0.618486 0.618486
7 0.753902 -0.892098 0.657222 0.753902 -0.656987 0.656987
7.05 0.709685 -0.876586 0.693808 0.720124 -0.693845 0.693845
7.1 0.666244 -0.861073 0.728203 0.684547 -0.728969 0.728969
7.15 0.623578 -0.84556 0.760445 0.647258 -0.762271 0.762271
7.2 0.581688 -0.830047 0.790574 0.608351 -0.793668 0.793668
7.25 0.540573 -0.814534 0.818627 0.567924 -0.823081 0.823081
7.3 0.500234 -0.799021 0.844644 0.526078 -0.850437 0.850437
7.35 0.460671 -0.783508 0.868664 0.482916 -0.875667 0.875667
7.4 0.421884 -0.767995 0.890724 0.438547 -0.898708 0.898708
7.45 0.383872 -0.752482 0.910865 0.393083 -0.919503 0.919503
7.5 0.346635 -0.736969 0.929124 0.346635 -0.938 0.938
7.55 0.30855 -0.78643 0.945514 0.299322 -0.954152 0.954152
7.6 0.267992 -0.83589 0.959938 0.25126 -0.96792 0.96792
7.65 0.224961 -0.88535 0.972272 0.20257 -0.979268 0.979268
7.7 0.179457 -0.93481 0.982393 0.153374 -0.988168 0.988168
7.75 0.13148 -0.984271 0.990177 0.103794 -0.994599 0.994599
7.8 0.0810303 -1.03373 0.9955 0.0539554 -0.998543 0.998543
7.85 0.0281072 -1.08319 0.998239 0.00398162 -0.999992 0.999992
7.9 -0.0272889 -1.13265 0.998269 -0.0460021 -0.998941 0.998941
7.95 -0.0851579 -1.18211 0.995468 -0.0958709 -0.995394 0.995394
8 -0.1455 -1.23157 0.989712 -0.1455 -0.989358 0.989358
8.05 -0.205486 -1.16786 0.980924 -0.194765 -0.98085 0.98085
8.1 -0.262286 -1.10415 0.969217 -0.243544 -0.96989 0.96989
8.15 -0.315901 -1.04044 0.954749 -0.291714 -0.956506 0.956506
8.2 -0.366331 -0.976733 0.93768 -0.339155 -0.940731 0.940731
8.25 -0.413575 -0.913024 0.918169 -0.385748 -0.922604 0.922604
8.3 -0.457633 -0.849314 0.896375 -0.431377 -0.902172 0.902172
8.35 -0.498506 -0.785604 0.872459 -0.475928 -0.879484 0.879484
8.4 -0.536193 -0.721895 0.846578 -0.519289 -0.854599 0.854599
8.45 -0.570695 -0.658185 0.818892 -0.561352 -0.827577 0.827577
8.5 -0.602012 -0.594475 0.789561 -0.602012 -0.798487 0.798487
8.55 -0.631854 -0.599228 0.758716 -0.641167 -0.767401 0.767401
8.6 -0.661935 -0.60398 0.726372 -0.67872 -0.734397 0.734397
8.65 -0.692252 -0.608732 0.692518 -0.714576 -0.699557 0.699557
8.7 -0.722808 -0.613484 0.657143 -0.748647 -0.662969 0.662969
8.75 -0.753601 -0.618237 0.620234 -0.780846 -0.624724 0.624724
8.8 -0.784632 -0.622989 0.581779 -0.811093 -0.584917 0.584917
8.85 -0.8159 -0.627741 0.541766 -0.839313 -0.543648 0.543648
8.9 -0.847406 -0.632494 0.500185 -0.865435 -0.501021 0.501021
8.95 -0.879149 -0.637246 0.457022 -0.889394 -0.457141 0.457141
9 -0.91113 -0.641998 0.412266 -0.91113 -0.412118 0.412118
