# x exact network residual
4.49248 -0.975917 -0.976364 0.0022495
4.52389 -0.982287 -0.982759 0.00242557
4.55531 -0.987688 -0.988182 0.00258425
4.58673 -0.992115 -0.992627 0.00272388
4.61814 -0.995562 -0.99609 0.00284285
4.64956 -0.998027 -0.998567 0.00293968
4.68097 -0.999507 -1.00006 0.00301303
4.71239 -1 -1.00055 0.00306167
4.7438 -0.999507 -1.00006 0.00308453
4.77522 -0.998027 -0.998582 0.0030807
4.80664 -0.995562 -0.996112 0.00304944
4.83805 -0.992115 -0.992655 0.00299021
4.86947 -0.987688 -0.988217 0.00290267
4.90088 -0.982287 -0.9828 0.00278667
4.9323 -0.975917 -0.97641 0.0026423
4.96372 -0.968583 -0.969055 0.00246989
4.99513 -0.960294 -0.96074 0.00226998
5.02655 -0.951057 -0.951475 0.00204338
5.05796 -0.940881 -0.94127 0.00179116
5.08938 -0.929776 -0.930133 0.00151464
5.1208 -0.917755 -0.918077 0.00121542
5.15221 -0.904827 -0.905114 0.000895372
5.18363 -0.891007 -0.891257 0.000556644
5.21504 -0.876307 -0.876519 0.000201668
5.24646 -0.860742 -0.860916 -0.000166841
5.27788 -0.844328 -0.844464 -0.000545882
5.30929 -0.827081 -0.827179 -0.000932172
5.34071 -0.809017 -0.809079 -0.00132214
5.37212 -0.790155 -0.790182 -0.00171195
5.40354 -0.770513 -0.770506 -0.00209745
5.43496 -0.750111 -0.750072 -0.00247427
5.46637 -0.728969 -0.7289 -0.00283772
5.49779 -0.707107 -0.707012 -0.00318288
5.5292 -0.684547 -0.684429 -0.00350457
5.56062 -0.661312 -0.661174 -0.00379737
5.59203 -0.637424 -0.637271 -0.00405562
5.62345 -0.612907 -0.612742 -0.00427343
5.65487 -0.587785 -0.587613 -0.00444472
5.68628 -0.562083 -0.561909 -0.0045632
5.7177 -0.535827 -0.535654 -0.00462239
5.74911 -0.509041 -0.508875 -0.00461566
5.78053 -0.481754 -0.481599 -0.00453621
5.81195 -0.45399 -0.453852 -0.00437712
5.84336 -0.425779 -0.425661 -0.00413134
5.87478 -0.397148 -0.397055 -0.00379171
5.90619 -0.368125 -0.36806 -0.00335102
5.93761 -0.338738 -0.338705 -0.00280198
5.96903 -0.309017 -0.309019 -0.00213726
6.00044 -0.278991 -0.27903 -0.0013495
6.03186 -0.24869 -0.248767 -0.00043136
6.06327 -0.218143 -0.218258 0.000624487
6.09469 -0.187381 -0.187534 0.00182532
6.12611 -0.156434 -0.156623 0.00317836
6.15752 -0.125333 -0.125554 0.00469073
6.18894 -0.0941083 -0.0943565 0.00636945
6.22035 -0.0627905 -0.0630597 0.0082214
6.25177 -0.0314108 -0.0316925 0.0102533
6.28319 -2.44929e-16 -0.000283854 0.0124717
