# x target network target_derivative network_derivative target_second_derivative network_second_derivative network_antiderivative
-0.3 -0.73219 -0.618668 2.2955 1.42899 22.7873 23.4793 -0.134384
-0.29 -0.708104 -0.603198 2.52091 1.66554 22.2813 23.813 -0.140495
-0.28 -0.68179 -0.585348 2.74085 1.90489 21.6919 24.038 -0.14644
-0.27 -0.653308 -0.565095 2.95448 2.14592 21.0207 24.1487 -0.152194
-0.26 -0.622724 -0.542428 3.16099 2.38746 20.2694 24.1398 -0.157734
-0.25 -0.590115 -0.517348 3.3596 2.6283 19.4402 24.007 -0.163034
-0.24 -0.555561 -0.489868 3.54954 2.86718 18.5357 23.7466 -0.168073
-0.23 -0.519155 -0.460015 3.73008 3.1028 17.5587 23.3558 -0.172824
-0.22 -0.480993 -0.427828 3.90049 3.33385 16.5124 22.8325 -0.177265
-0.21 -0.441181 -0.393358 4.0601 3.55901 15.4002 22.1758 -0.181373
-0.2 -0.399829 -0.356672 4.20829 3.77692 14.226 21.3853 -0.185125
-0.19 -0.357056 -0.317848 4.34443 3.98627 12.9938 20.462 -0.188499
-0.18 -0.312983 -0.276979 4.46798 4.18572 11.708 19.4076 -0.191475
-0.17 -0.26774 -0.234171 4.57843 4.37399 10.3733 18.225 -0.194032
-0.16 -0.22146 -0.189541 4.6753 4.54981 8.99428 16.918 -0.196152
-0.15 -0.17428 -0.14322 4.75818 4.71195 7.57616 15.4913 -0.197817
-0.14 -0.126344 -0.0953512 4.82671 4.85926 6.12414 13.9508 -0.199012
-0.13 -0.077795 -0.0460881 4.88057 4.99061 4.64362 12.3032 -0.19972
-0.12 -0.0287821 0.00440442 4.91951 5.10499 3.14014 10.5562 -0.199929
-0.11 0.0205447 0.0559519 4.94332 5.20143 1.61936 8.71839 -0.199628
-0.1 0.0700334 0.10837 4.95186 5.27909 0.0870402 6.79913 -0.198807
-0.09 0.119531 0.161468 4.94504 5.33718 -1.45099 4.80858 -0.197459
