-3 -0.999978 -0.999978
-2.9 -0.999959 -0.999959
-2.8 -0.999925 -0.999925
-2.7 -0.999866 -0.999866
-2.6 -0.999764 -0.999764
-2.5 -0.999593 -0.999593
-2.4 -0.999311 -0.999311
-2.3 -0.998857 -0.998857
-2.2 -0.998137 -0.998137
-2.1 -0.99702 -0.997021
-2 -0.995322 -0.995322
-1.9 -0.99279 -0.99279
-1.8 -0.98909 -0.989091
-1.7 -0.98379 -0.98379
-1.6 -0.976348 -0.976348
-1.5 -0.966105 -0.966105
-1.4 -0.952285 -0.952285
-1.3 -0.934008 -0.934008
-1.2 -0.910314 -0.910314
-1.1 -0.880205 -0.880205
-1 -0.842701 -0.842701
-0.9 -0.796908 -0.796908
-0.8 -0.742101 -0.742101
-0.7 -0.677801 -0.677801
-0.6 -0.603856 -0.603856
-0.5 -0.5205 -0.5205
-0.4 -0.428392 -0.428392
-0.3 -0.328627 -0.328627
-0.2 -0.222702 -0.222703
-0.1 -0.112463 -0.112463
1.52656e-15 1e-09 1.72253e-15
0.1 0.112463 0.112463
0.2 0.222702 0.222703
0.3 0.328627 0.328627
0.4 0.428392 0.428392
0.5 0.5205 0.5205
0.6 0.603856 0.603856
0.7 0.677801 0.677801
0.8 0.742101 0.742101
0.9 0.796908 0.796908
1 0.842701 0.842701
1.1 0.880205 0.880205
1.2 0.910314 0.910314
1.3 0.934008 0.934008
1.4 0.952285 0.952285
1.5 0.966105 0.966105
1.6 0.976348 0.976348
1.7 0.98379 0.98379
1.8 0.98909 0.989091
1.9 0.99279 0.99279
2 0.995322 0.995322
2.1 0.99702 0.997021
2.2 0.998137 0.998137
2.3 0.998857 0.998857
2.4 0.999311 0.999311
2.5 0.999593 0.999593
2.6 0.999764 0.999764
2.7 0.999866 0.999866
2.8 0.999925 0.999925
2.9 0.999959 0.999959
